,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
27,工银产业债债券A,五 粮 液,0.97%,隆基股份,0.91%,三一重工,0.87%,美的集团,0.81%,阳光电源,0.75%,中国平安,0.74%,招商银行,0.66%,万华化学,0.64%,药明康德,0.62%,海大集团,0.55%,18国开,6.31%,19农发,2.75%,18中油EB,2.72%,19中油,2.43%,19农业,2.04%,0,0,0,0,0,0,0,0,0,0
28,工银产业债债券B,五 粮 液,0.97%,隆基股份,0.91%,三一重工,0.87%,美的集团,0.81%,阳光电源,0.75%,中国平安,0.74%,招商银行,0.66%,万华化学,0.64%,药明康德,0.62%,海大集团,0.55%,18国开,6.31%,19农发,2.75%,18中油EB,2.72%,19中油,2.43%,19农业,2.04%,0,0,0,0,0,0,0,0,0,0
29,华夏双债债券A,中国太保,3.39%,玲珑轮胎,2.63%,先导智能,2.46%,东方财富,1.83%,木林森,1.30%,视源股份,1.23%,中航机电,1.13%,苏博特,1.01%,中航电子,0.96%,海大集团,0.39%,20国债,5.34%,16国债19,4.61%,国投转债,4.33%,无锡转债,4.27%,光大转债,3.84%,0,0,0,0,0,0,0,0,0,0
30,华夏双债债券C,中国太保,3.39%,玲珑轮胎,2.63%,先导智能,2.46%,东方财富,1.83%,木林森,1.30%,视源股份,1.23%,中航机电,1.13%,苏博特,1.01%,中航电子,0.96%,海大集团,0.39%,20国债,5.34%,16国债19,4.61%,国投转债,4.33%,无锡转债,4.27%,光大转债,3.84%,0,0,0,0,0,0,0,0,0,0
31,中银标普全球资源等权重指数,FMG集团,1.24%,Vedan,1.24%,分众传媒,1.21%,安赛乐米塔尔,1.21%,Antof,1.17%,Camec,1.17%,White,1.15%,淡水河谷,1.14%,西方石油,1.12%,Evraz,1.11%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,华夏沪深300ETF联接A,中信证券,0.21%,贵州茅台,0.10%,五 粮 液,0.09%,中国平安,0.09%,美的集团,0.08%,格力电器,0.05%,招商银行,0.05%,立讯精密,0.04%,恒瑞医药,0.04%,东方财富,0.03%,20进出,1.61%,20贴现,0.80%,18国开,0.57%,20农发,0.24%,20国开,0.16%,0,0,0,0,0,0,0,0,0,0
33,鹏华永诚一年定开债券,18国开,4.54%,18国开,4.54%,16国开,4.52%,20国开,4.52%,20国开,4.50%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,鹏华双债增利债券,宁德时代,1.24%,麦格米特,1.12%,恒立液压,1.12%,隆基股份,1.05%,璞泰来,1.00%,荣盛石化,0.91%,杭叉集团,0.91%,鸿远电子,0.85%,北方华创,0.83%,长电科技,0.81%,16十堰,6.32%,17京电,5.98%,19锡西债,4.02%,19濮阳,3.96%,18潍坊,3.95%,0,0,0,0,0,0,0,0,0,0
35,广发纳斯达克100美元现汇A,苹果,12.34%,微软,9.13%,亚马逊,8.90%,特斯拉,3.98%,谷歌-C,3.39%,Faceb,3.14%,谷歌-A,3.06%,英伟达,2.29%,PayPa,2.02%,奥多比,1.56%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,建信消费升级混合,五 粮 液,9.71%,贵州茅台,9.39%,中国太保,5.97%,立讯精密,5.95%,歌尔股份,5.22%,长春高新,4.78%,智飞生物,4.17%,中国中免,3.95%,伊利股份,3.58%,洋河股份,3.33%,立讯转债,0.06%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,中银消费主题混合,中国中免,9.81%,长春高新,9.24%,贵州茅台,8.16%,五 粮 液,7.80%,爱尔眼科,6.91%,伊利股份,5.32%,美的集团,5.23%,迈瑞医疗,3.66%,绝味食品,3.61%,格力电器,3.47%,国开20,4.22%,20国债,0.94%,国开1805,0.19%,福20转债,0.10%,0,0,0,0,0,0,0,0,0,0,0,0
38,国联安安泰灵活配置混合,五 粮 液,1.94%,万华化学,1.60%,贵州茅台,1.30%,新 和 成,1.22%,中国平安,1.13%,万 科Ａ,1.08%,格力电器,1.07%,建设银行,1.04%,保利地产,1.00%,伊利股份,0.96%,20国债10,11.53%,20国债18,7.25%,19国开,7.23%,19国开,5.81%,20国开,5.64%,0,0,0,0,0,0,0,0,0,0
39,国联安中证医药100A,金域医学,2.32%,药明康德,2.19%,恒瑞医药,2.17%,康龙化成,2.11%,长春高新,2.07%,乐普医疗,1.75%,万孚生物,1.16%,迈瑞医疗,1.15%,泰格医药,1.13%,英科医疗,1.12%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,华夏盛世混合,格林美,5.79%,嘉化能源,5.52%,西藏药业,4.91%,杉杉股份,4.64%,大为股份,3.95%,宁德时代,3.56%,康华生物,3.20%,方邦股份,3.13%,海兰信,2.91%,东方日升,2.84%,20进出,4.62%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,长盛电子信息主题灵活配置混合,立讯精密,6.43%,长城汽车,5.33%,卓胜微,4.90%,宁德时代,4.73%,通威股份,4.37%,美的集团,3.95%,鸿远电子,3.81%,爱尔眼科,3.76%,恒立液压,3.60%,汇川技术,3.57%,隆20转债,0.25%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,大摩18个月定开债,19陕煤,3.55%,19兴创,3.39%,20龙湖02,2.60%,19富阳,2.37%,19乐清,2.36%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,国富焦点驱动混合,玲珑轮胎,4.96%,招商银行,2.63%,格力电器,1.18%,泸州老窖,1.10%,洋河股份,1.06%,光明乳业,0.90%,伊利股份,0.88%,阳光电源,0.76%,隆基股份,0.73%,兴业银行,0.70%,20附息,4.78%,20附息,4.62%,20电网,4.04%,18中油EB,3.28%,16三峡,2.71%,0,0,0,0,0,0,0,0,0,0
44,诺安鸿鑫混合,贵州茅台,8.24%,中国中免,7.38%,招商银行,7.28%,中国平安,6.35%,恒瑞医药,4.23%,兴业银行,3.11%,中信证券,2.80%,伊利股份,2.79%,隆基股份,2.46%,三一重工,2.12%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,民生加银转债优选A,东方日升,4.43%,恒立液压,2.74%,阳光电源,2.72%,长春高新,1.59%,运达股份,1.18%,天奈科技,1.14%,古井贡酒,0.81%,安井食品,0.72%,美的集团,0.66%,今世缘,0.63%,国开1805,4.84%,光大转债,4.16%,明泰转债,3.81%,隆20转债,3.79%,至纯转债,3.63%,0,0,0,0,0,0,0,0,0,0
46,民生加银转债优选C,东方日升,4.43%,恒立液压,2.74%,阳光电源,2.72%,长春高新,1.59%,运达股份,1.18%,天奈科技,1.14%,古井贡酒,0.81%,安井食品,0.72%,美的集团,0.66%,今世缘,0.63%,国开1805,4.84%,光大转债,4.16%,明泰转债,3.81%,隆20转债,3.79%,至纯转债,3.63%,0,0,0,0,0,0,0,0,0,0
47,国投瑞银中高等级债券A,15杭城,6.84%,18成都,6.77%,19中远,6.74%,19甬交,6.74%,16首旅,6.72%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,国投瑞银中高等级债券C,15杭城,6.84%,18成都,6.77%,19中远,6.74%,19甬交,6.74%,16首旅,6.72%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,华夏恒生ETF联接A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,华安稳健回报混合,东方财富,1.13%,迈瑞医疗,0.78%,汇川技术,0.66%,泸州老窖,0.65%,宁德时代,0.56%,爱尔眼科,0.50%,航发动力,0.33%,华友钴业,0.32%,法拉电子,0.31%,三一重工,0.28%,20杭金,6.16%,18龙控05,5.41%,18渤海,4.67%,18穗建01,3.12%,18远海02,3.11%,0,0,0,0,0,0,0,0,0,0
51,上投摩根成长动力混合,科沃斯,8.59%,我武生物,7.12%,拓普集团,6.09%,中国中免,5.95%,五 粮 液,5.04%,立讯精密,4.88%,欧普康视,3.56%,贵州茅台,3.25%,泸州老窖,3.11%,石头科技,3.06%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,工银信用纯债一年定开债A,20中船03,9.38%,19中国,4.87%,20金融,4.86%,16穗建03,4.83%,19侨城01,4.83%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,华夏恒生ETF联接现汇,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,工银信用纯债一年定开债C,20中船03,9.38%,19中国,4.87%,20金融,4.86%,16穗建03,4.83%,19侨城01,4.83%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,工银信用纯债两年定开债A,16中建,7.38%,16皖交,7.35%,16鲁高,7.35%,20邮储,5.72%,17陕煤,4.55%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,工银信用纯债两年定开债C,16中建,7.38%,16鲁高,7.35%,16皖交,7.35%,20邮储,5.72%,17陕煤,4.55%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,天治可转债增强债券A,光大转债,12.95%,立讯转债,7.71%,G三峡EB1,7.09%,隆20转债,7.06%,苏银转债,7.01%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,天治可转债增强债券C,光大转债,12.95%,立讯转债,7.71%,G三峡EB1,7.09%,隆20转债,7.06%,苏银转债,7.01%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,嘉实研究阿尔法股票,中国平安,4.30%,招商银行,3.16%,贵州茅台,2.50%,新华保险,2.24%,立讯精密,2.17%,五 粮 液,2.11%,酒鬼酒,1.93%,宁波银行,1.89%,美的集团,1.88%,宁德时代,1.74%,18国开,3.63%,21国债⑺,0.19%,鸿路转债,0.08%,模塑转债,0.06%,林洋转债,0.06%,0,0,0,0,0,0,0,0,0,0
60,汇添富消费行业混合,贵州茅台,9.94%,五 粮 液,9.57%,中国中免,9.10%,泸州老窖,7.03%,山西汾酒,7.00%,百润股份,5.19%,长春高新,5.07%,伊利股份,4.76%,安井食品,3.81%,格力电器,3.15%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,博时安盈债券A,20中信,1.84%,18国开,1.36%,20中国,1.35%,20福州,1.35%,16国开,1.35%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,博时安盈债券C,20中信,1.84%,18国开,1.36%,16国开,1.35%,20中国,1.35%,20福州,1.35%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,南方稳利1年定开债A,20国债16,9.41%,20国开,5.66%,20附息,5.64%,20附息,5.60%,16徐工,5.59%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,嘉实中证金边国债ETF联接A,20国债10,5.66%,国债1502,2.33%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,嘉实中证金边国债ETF联接C,20国债10,5.66%,国债1502,2.33%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,民生加银高等级信用债C,20国开,5.42%,12中信,4.01%,19中油,3.93%,20象屿,3.90%,20浙小,3.89%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,民生加银高等级信用债A,20国开,5.42%,12中信,4.01%,19中油,3.93%,20象屿,3.90%,20浙小,3.89%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,国泰中国企业境外高收益债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,华宸未来稳健添利债券A,03国债⑶,14.12%,20国债10,9.76%,20国债,9.64%,16国债08,7.97%,16国债19,6.38%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,建信安心回报债券A,20附息,9.07%,18首置03,8.99%,20安市,8.98%,16国债19,8.48%,20信阳,7.20%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,建信安心回报债券C,20附息,9.07%,18首置03,8.99%,20安市,8.98%,16国债19,8.48%,20信阳,7.20%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,富国稳健增强债券A/B,中国建筑,1.04%,建设银行,0.62%,老凤祥,0.56%,深高速,0.55%,金 螳 螂,0.49%,永新股份,0.47%,深物业A,0.44%,华发股份,0.44%,富安娜,0.42%,万 科Ａ,0.36%,20国债,2.79%,20深地,2.65%,20国债10,2.16%,19农发,1.99%,20东债02,1.98%,0,0,0,0,0,0,0,0,0,0
73,富国稳健增强债券C,中国建筑,1.04%,建设银行,0.62%,老凤祥,0.56%,深高速,0.55%,金 螳 螂,0.49%,永新股份,0.47%,深物业A,0.44%,华发股份,0.44%,富安娜,0.42%,万 科Ａ,0.36%,20国债,2.79%,20深地,2.65%,20国债10,2.16%,19农发,1.99%,20东债02,1.98%,0,0,0,0,0,0,0,0,0,0
74,金鹰元安混合A,平安银行,1.33%,隆基股份,0.92%,贵州茅台,0.71%,分众传媒,0.70%,比亚迪,0.69%,洋河股份,0.67%,TCL科技,0.66%,海尔智家,0.63%,格力电器,0.62%,国茂股份,0.57%,19建信,7.16%,19信达,5.77%,19国开,5.72%,19农银,5.72%,18国开,4.32%,0,0,0,0,0,0,0,0,0,0
75,易方达纯债1年定开债A,20甘公,4.55%,19重汽,4.09%,19吉利,4.08%,20附息,3.57%,19西南,3.07%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,易方达纯债1年定开债C,20甘公,4.55%,19重汽,4.09%,19吉利,4.08%,20附息,3.57%,19西南,3.07%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,嘉实如意宝定期债券A/B,18首钢,4.97%,19九江,4.97%,19进出,4.93%,20诚通,4.90%,18华润,3.98%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,嘉实如意宝定期债券C,19九江,4.97%,19进出,4.93%,20诚通,4.90%,18华润,3.98%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,嘉实丰益纯债定期债券,19吉安,3.26%,18伊泰01,2.82%,20广晟,2.81%,20中骏02,2.80%,20奥园01,2.76%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,广发轮动配置混合,五 粮 液,8.20%,贵州茅台,7.59%,我武生物,4.23%,长春高新,3.78%,爱尔眼科,3.73%,泸州老窖,3.62%,中国平安,3.19%,顺鑫农业,2.68%,今世缘,2.54%,立讯精密,2.48%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,广发聚鑫债券A,汇川技术,3.22%,徐工机械,1.67%,顺丰控股,1.67%,视源股份,1.63%,深信服,1.26%,百润股份,1.17%,中国平安,1.17%,科大讯飞,0.91%,爱尔眼科,0.88%,恒瑞医药,0.53%,20附息,3.26%,电气转债,2.50%,G三峡EB1,2.24%,19进出,2.13%,20华泰G9,1.95%,0,0,0,0,0,0,0,0,0,0
82,广发聚鑫债券C,汇川技术,3.22%,徐工机械,1.67%,顺丰控股,1.67%,视源股份,1.63%,深信服,1.26%,百润股份,1.17%,中国平安,1.17%,科大讯飞,0.91%,爱尔眼科,0.88%,恒瑞医药,0.53%,20附息,3.26%,电气转债,2.50%,G三峡EB1,2.24%,19进出,2.13%,20华泰G9,1.95%,0,0,0,0,0,0,0,0,0,0
83,中银美丽中国混合,恒立液压,9.79%,三一重工,9.26%,立讯精密,6.55%,汇川技术,5.74%,福耀玻璃,4.91%,伊利股份,4.91%,隆基股份,4.57%,亿纬锂能,4.08%,捷昌驱动,3.95%,紫金矿业,3.79%,国开20,5.43%,紫金转债,0.15%,立讯转债,0.06%,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,华夏永福混合A,宁德时代,2.30%,先导智能,2.15%,立讯精密,1.69%,中远海控,1.67%,中国太保,1.64%,三花智控,1.58%,中国平安,1.41%,航发动力,1.18%,东方财富,1.08%,紫金矿业,0.94%,20国开,5.75%,20国债10,3.40%,光大转债,3.06%,20国开,2.72%,20附息,2.64%,0,0,0,0,0,0,0,0,0,0
85,汇添富实业债债券A,20国债,4.88%,16龙盛,4.62%,18宁地铁,2.58%,18通用01,2.56%,16中船02,2.54%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,汇添富实业债债券C,20国债,4.88%,16龙盛,4.62%,18宁地铁,2.58%,18通用01,2.56%,16中船02,2.54%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,华宝服务优选混合,立讯精密,9.36%,宁德时代,8.80%,中国中免,8.33%,东山精密,7.86%,亿纬锂能,7.54%,火炬电子,5.05%,三七互娱,5.04%,当升科技,4.65%,拓普集团,4.20%,伯特利,3.92%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,招商安润混合,宁德时代,10.08%,智飞生物,8.80%,恩捷股份,8.04%,分众传媒,6.86%,立讯精密,6.38%,先导智能,5.93%,康泰生物,4.60%,歌尔股份,4.02%,华海药业,3.80%,亿纬锂能,3.73%,国开1805,2.83%,20国债10,2.28%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,农银行业领先混合,五 粮 液,7.82%,贵州茅台,7.45%,泸州老窖,7.36%,美的集团,6.65%,宁德时代,5.03%,今世缘,4.91%,双汇发展,4.41%,珀莱雅,3.82%,分众传媒,3.79%,恒顺醋业,3.59%,国开20,4.08%,20国债10,0.45%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
